iter	Passed	Remaining
249	761	2284
250	762	2275
251	763	2267
252	765	2260
253	766	2252
254	768	2244
255	769	2237
256	771	2229
257	772	2221
258	773	2213
259	776	2208
260	777	2202
261	779	2194
262	780	2186
263	781	2179
264	783	2172
265	784	2165
266	786	2158
267	787	2152
268	789	2146
269	791	2139
270	792	2131
271	793	2124
272	794	2117
273	796	2110
274	797	2102
275	800	2099
276	801	2092
277	802	2085
278	804	2078
279	805	2071
280	806	2064
281	808	2059
282	810	2052
283	812	2047
284	813	2040
285	814	2033
286	816	2027
287	817	2021
288	818	2014
289	820	2007
290	821	2001
291	822	1995
292	824	1988
293	825	1982
294	827	1976
295	828	1970
296	829	1964
297	830	1957
298	832	1950
299	833	1945
300	835	1939
301	836	1933
302	838	1928
303	839	1922
304	841	1916
305	842	1910
306	843	1903
307	845	1898
308	846	1892
309	847	1887
310	849	1881
311	851	1877
312	852	1870
313	853	1864
314	854	1858
315	856	1853
316	857	1848
317	858	1842
318	860	1837
319	862	1832
320	863	1826
321	864	1820
322	865	1815
323	867	1810
324	869	1805
325	870	1800
326	872	1795
327	873	1790
328	874	1784
329	876	1778
330	877	1773
331	879	1768
332	880	1763
333	881	1758
334	882	1752
335	884	1748
336	885	1742
337	887	1737
338	888	1731
339	891	1729
340	892	1725
341	893	1719
342	895	1714
343	896	1710
344	897	1704
345	899	1699
346	900	1694
347	902	1690
348	903	1685
349	905	1680
350	906	1676
351	908	1672
352	909	1667
353	910	1662
354	912	1657
355	914	1654
356	916	1650
357	917	1645
358	919	1641
359	920	1636
360	921	1631
361	922	1626
362	924	1621
363	925	1617
364	927	1612
365	928	1608
366	930	1604
367	931	1599
368	932	1595
369	934	1590
370	937	1588
371	938	1584
372	940	1580
373	941	1576
374	943	1571
375	944	1567
376	945	1562
377	946	1557
378	949	1556
379	951	1551
380	952	1547
381	953	1543
382	955	1538
383	956	1534
384	957	1529
385	958	1525
386	961	1523
387	963	1519
388	964	1514
389	965	1510
390	967	1506
391	968	1501
392	969	1497
393	970	1493
394	973	1490
395	974	1486
396	976	1482
397	977	1478
398	979	1474
399	980	1470
400	981	1466
401	982	1462
402	985	1459
403	986	1455
404	988	1451
405	989	1447
406	991	1444
407	992	1439
408	993	1435
409	994	1430
410	995	1426
411	997	1423
412	998	1419
413	999	1415
414	1001	1411
415	1002	1407
416	1003	1403
417	1005	1399
418	1006	1395
419	1008	1392
420	1009	1388
421	1010	1384
422	1012	1380
423	1013	1377
424	1015	1373
425	1016	1369
426	1017	1365
427	1019	1362
428	1020	1358
429	1021	1354
430	1023	1351
431	1025	1347
432	1026	1343
433	1027	1339
434	1028	1336
435	1030	1333
436	1032	1330
437	1033	1326
438	1035	1322
439	1036	1318
440	1037	1315
441	1038	1311
442	1039	1307
443	1041	1303
444	1042	1300
445	1044	1296
446	1045	1293
447	1046	1289
448	1048	1286
449	1049	1282
